FID,IID,Flowering_time,snp1,snp2,snp3,type
F1,1,90.08333333,2,2,1,training
F2,3,107.5,2,2,2,training
F3,4,112.5,2,2,2,training
F4,5,105.5,2,2,2,training
F5,6,98.08333333,1,1,1,training
F6,7,114,1,1,1,training
F7,8,113.5833333,2,1,1,training
F8,9,88,2,2,1,training
F9,10,101,2,1,1,training
F10,11,NA,1,2,1,training
F11,13,118.3333333,2,2,2,training
F12,14,112,1,2,2,training
F13,15,NA,1,2,1,training
F14,16,99.25,1,1,1,training
F15,17,92,1,1,1,training
F16,18,110.83333333,2,2,0,training
F17,20,119,2,2,1,training
F18,22,113.6666667,1,2,1,training
F19,23,112.4444444,0,2,1,training
F20,24,102.91666667,1,2,1,training
F21,25,110.18181818,2,2,2,training
F22,26,110.33333333,2,2,2,training
F23,27,101.75,1,2,1,training
F24,29,105.5,1,2,2,training
F25,31,98,2,1,0,training
F26,32,104.66666667,2,2,0,training
F27,33,97.25,1,2,2,training
F28,34,115,2,2,2,training
F29,35,NA,1,2,1,training
F30,39,113.16666667,2,2,2,training
F31,40,113.66666667,2,2,2,training
F32,41,NA,1,2,2,training
F33,43,107.25,2,1,2,training
F34,44,93.83333333,1,2,1,training
F35,45,99.75,2,2,2,training
F36,46,107.58333333,1,2,1,training
F37,49,108,1,1,2,training
F38,50,110.25,2,2,1,training
F39,51,117.6,1,2,2,training
F40,53,106,1,2,2,training
F41,55,92.91666667,2,2,2,training
F42,56,89.125,2,2,1,training
F43,57,101.83333333,1,2,1,training
F44,58,106.25,1,2,2,training
F45,59,97.16666667,2,2,1,training
F46,60,97.33333333,2,2,1,training
F47,61,104.25,2,2,1,training
F48,63,NA,2,2,1,training
F49,65,106.75,1,1,0,training
F50,66,NA,2,2,1,training
F51,67,129.6666667,2,2,1,training
F52,68,110.08333333,1,2,1,training
F53,69,108.25,1,2,2,training
F54,70,102.5,1,2,1,training
F55,71,115.75,2,2,1,training
F56,72,120.1666667,1,2,1,training
F57,73,103.41666667,2,2,0,training
F58,74,117.33333333,2,2,2,training
F59,75,99.66666667,2,1,1,training
F60,76,125.1666667,2,2,1,training
F61,77,137,2,1,1,training
F62,78,116.83333333,2,2,2,training
F63,79,88.25,1,1,2,training
F64,80,122.5714286,2,2,0,training
F65,81,101.25,2,2,2,training
F66,83,94,2,2,1,training
F67,84,107.16666667,2,2,2,training
F68,85,115.75,2,2,1,training
F69,86,NA,2,2,0,training
F70,87,116.25,2,2,1,training
F71,88,106.88888889,2,1,2,training
F72,89,108.91666667,2,2,2,training
F73,92,109.6,2,2,2,training
F74,93,103.25,1,2,2,training
F75,94,95.91666667,0,2,2,training
F76,96,122.3,2,2,2,training
F77,97,113.375,2,2,1,training
F78,98,95.83333333,1,2,1,training
F79,99,108.16666667,2,2,2,training
F80,100,102.11111111,2,2,2,training
F81,101,104.16666667,2,2,2,training
F82,102,NA,2,2,2,training
F83,103,96,2,2,0,training
F84,105,95.5,2,1,2,training
F85,106,117.8333333,2,2,1,training
F86,107,96.41666667,1,2,2,training
F87,108,117.1666667,2,2,1,training
F88,109,NA,0,2,2,training
F89,110,165.5,1,2,2,training
F90,111,110,1,2,1,training
F91,113,71,1,2,1,training
F92,114,102.58333333,2,2,2,training
F93,115,117,2,1,1,training
F94,116,106.08333333,2,2,1,training
F95,117,94.75,1,2,1,training
